PlayerName,season_avg_points
Bill Henry,5.975
Bill Hewitt,5.8563829787234045
Bill Jones,3.4864864864864864
Bill Kenville,6.98941798941799
Bill Laimbeer,12.824724809483488
Bill Ligon,3.2
Bill Martin,4.726190476190476
Bill Mayfield,2.4285714285714284
Bill McGill,9.932515337423313
Bill Melchionni,4.2727272727272725
Bill Mlkvy,7.434782608695652
Bill Roberts,1.875
Bill Robinzine,10.465549348230912
Bill Russell,15.243794326241135
Bill Sharman,18.28272980501393
Bill Smith,6.0
Bill Stricker,4.0
Bill Thieben,4.034090909090909
Bill Tosheff,7.238095238095238
Bill Turner,5.360759493670886
Bill Walton,13.042553191489361
Bill Wennington,4.136741973840666
Bill Willoughby,5.94541910331384
Bill Zopf,2.2264150943396226
Billy Cunningham,20.76046176046176
Billy Donovan,2.3863636363636362
Billy Gabor,8.885826771653543
Billy Garrett,5.2
Billy Hassett,2.942857142857143
Billy Knight,15.612334801762115
Billy McKinney,8.014141414141415
Billy Owens,10.787106446776612
Billy Paultz,8.423512747875353
Billy Preston,1.6666666666666667
Billy Reid,3.2203389830508473
Billy Thomas,1.7821782178217822
Billy Thompson,8.519736842105264
Billyray Bates,12.212435233160623
Bimbo Coles,7.11864406779661
Bingo Smith,12.634420697412823
Bismack Biyombo,4.34439461883408
Bison Dele,10.56768558951965
Blair Rasmussen,9.739750445632799
Blake Ahearn,3.5128205128205128
Blake Griffin,16.43614931237721
Blake Hinson,0.5
Blake Stepp,5.0
Blake Wesley,3.493273542600897
Blue Edwards,10.315374507227332
Bo Ellis,3.633879781420765
Bo Erias,8.222222222222221
Bo Kimble,5.314814814814815
Bo Lamar,6.604938271604938
Bo McCalebb,2.75
Bo Outlaw,4.667279411764706
Bob Allen,1.6774193548387097
Bob Anderegg,4.290322580645161
Bob Armstrong,1.4
Bob Arnzen,5.472727272727273
Bob Bigelow,2.4893617021276597
Bob Boozer,14.676438653637351
Bob Brannum,6.045977011494253
Bob Burrow,5.666666666666667
Bob Carney,3.0384615384615383
Bob Carpenter,7.253164556962025
Bob Carrington,8.195121951219512
Bob Christian,3.765873015873016
Bob Cousy,18.376930998970135
Bob Dandridge,18.66311300639659
Bob Davies,14.013262599469495
Bob Davis,3.090909090909091
Bob Doll,7.454545454545454
Bob Donham,6.434210526315789
Bob Duffy,4.14
Bob Elliott,6.950354609929078
Bob Ferry,8.994082840236686
Bob Fitzgerald,1.3571428571428572
Bob Greacen,2.4038461538461537
Bob Gross,9.059479553903346
Bob Hansen,6.992
